Year,Mo,Dy,Hr,Mn,Sec,Val,Tsunami Cause Code,Tsu SRC,mag,Volcano,Tsu Runup,Doubtful Runup,Country,State,Name,lat,long,Distance from Source,Arrival Day,Arrival Hour,Arrival Min,Travel Hour,Travel Min,Max Water Height,Max Inundation Distance,Type,Per,1st Mtn,Num Deaths,Inf Deaths,Num Injuries,Inf Injuries,Mill Damage,Inf Damage,Num House Destroyed,Inf House Destroyed,Num House Damaged,Inf House Damaged,gid,timestamp,timestamp2
1950.0,3.0,14.0,18.0,10.0,41.0,2.0,1.0,*,5.8,,*,,NEW ZEALAND,,GULF OF PLENTY,-37.86,176.71,44.0,,,,,,,,1.0,,,,,,,,,,,,,1,1950-03-14,1950-03-14
1950.0,8.0,3.0,,,,2.0,1.0,*,6.8,,*,,VENEZUELA,,PUERTO CABELLO,10.483,-68.033,4.0,,,,,,,,1.0,,,,,,,,,,,,,2,1950-08-03,1950-08-03
1950.0,10.0,5.0,16.0,9.0,31.0,4.0,1.0,*,7.7,,*,,COSTA RICA,,NICOYA PENINSULA,9.875,-85.51,137.0,,,,,,2.0,,1.0,,,,,,,,,,,,,3,1950-10-05,1950-10-05
1950.0,10.0,5.0,16.0,9.0,31.0,4.0,1.0,*,7.7,,*,,COSTA RICA,,PUNTARENAS,9.967,-84.833,116.0,,,,,,0.1,,2.0,30.0,,,,,,,,,,,,3,1950-10-05,1950-10-05
1950.0,10.0,5.0,16.0,9.0,31.0,4.0,1.0,*,7.7,,*,,EL SALVADOR,LA LIBERTAD,LA LIBERTAD,13.498,-89.317,545.0,,,,,,0.09,,2.0,,,,,,,,,,,,,3,1950-10-05,1950-10-05
1950.0,10.0,5.0,16.0,9.0,31.0,4.0,1.0,*,7.7,,*,,EL SALVADOR,LA UNION,LA UNION,13.333,-87.817,401.0,,,,,,0.1,,2.0,43.0,,,,,,,,,,,,3,1950-10-05,1950-10-05
1950.0,10.0,5.0,16.0,9.0,31.0,4.0,1.0,*,7.7,,*,,USA,HI,"HILO, HAWAII, HI",19.7303,-155.0553,7529.0,,,,,,0.1,,2.0,18.0,,,,,,,,,,,,3,1950-10-05,1950-10-05
1950.0,10.0,5.0,16.0,9.0,31.0,4.0,1.0,*,7.7,,*,,USA,HI,"HONOLULU, OAHU, HI",21.3067,-157.867,7808.0,,,,,,0.1,,2.0,28.0,,,,,,,,,,,,3,1950-10-05,1950-10-05
1950.0,10.0,5.0,16.0,9.0,31.0,4.0,1.0,*,7.7,,*,,USA,HI,"PORT ALLEN, KAUAI, HI",21.91,-159.58,7979.0,,,,,,0.1,,2.0,16.0,,,,,,,,,,,,3,1950-10-05,1950-10-05
1950.0,10.0,8.0,3.0,23.0,9.0,3.0,1.0,*,7.6,,*,,INDONESIA,MALUKU,"GALALA, AMBON ISLAND",-3.667,128.217,17.0,,,,,,,200.0,1.0,,,,,,,,3.0,,2.0,,2.0,4,1950-10-08,1950-10-08
1950.0,10.0,8.0,3.0,23.0,9.0,3.0,1.0,*,7.6,,*,,INDONESIA,MALUKU,"HUTUMURI, AMBON ISLAND",-3.69,128.29,12.0,,,,,,,,1.0,,,1.0,1.0,,,,3.0,,2.0,,2.0,4,1950-10-08,1950-10-08
1950.0,10.0,23.0,16.0,13.0,20.0,4.0,1.0,*,7.5,,*,,EL SALVADOR,LA UNION,LA UNION,13.333,-87.817,456.0,,,,,,0.1,,2.0,30.0,,,,,,,,,,,,5,1950-10-23,1950-10-23
1950.0,10.0,23.0,16.0,13.0,20.0,4.0,1.0,*,7.5,,*,,GUATEMALA,,SAN JOSE,13.917,-90.833,125.0,23.0,18.0,25.0,2.0,12.0,0.2,,2.0,15.0,,,,,,,,,,,,5,1950-10-23,1950-10-23
1950.0,10.0,23.0,16.0,13.0,20.0,4.0,1.0,*,7.5,,*,,USA,HI,"HILO, HAWAII, HI",19.7303,-155.0553,6706.0,24.0,1.0,31.0,9.0,18.0,0.1,,2.0,16.0,,,,,,,,,,,,5,1950-10-23,1950-10-23
1950.0,10.0,23.0,16.0,13.0,20.0,4.0,1.0,*,7.5,,*,,USA,HI,"HONOLULU, OAHU, HI",21.3067,-157.867,6981.0,,,,,,0.1,,2.0,22.0,,,,,,,,,,,,5,1950-10-23,1950-10-23
1950.0,10.0,23.0,16.0,13.0,20.0,4.0,1.0,*,7.5,,*,,USA,HI,"PORT ALLEN, KAUAI, HI",21.91,-159.58,7150.0,,,,,,0.1,,2.0,19.0,,,,,,,,,,,,5,1950-10-23,1950-10-23
1950.0,11.0,8.0,2.0,18.0,12.0,3.0,1.0,*,7.3,,*,,SOLOMON ISLANDS,,"HONIARA, GUADALCANAL",-9.44,159.95,79.0,,,,,,0.3,,1.0,,,,,,,,,,,,,6,1950-11-08,1950-11-08
1950.0,11.0,8.0,2.0,18.0,12.0,3.0,1.0,*,7.3,,*,,SOLOMON ISLANDS,,SOUTHWEST GUADALCANAL,-9.77,159.9,51.0,,,,,,1.2,,1.0,,,,,,,,,,,,,6,1950-11-08,1950-11-08
1950.0,12.0,2.0,19.0,51.0,49.0,3.0,1.0,*,7.8,,*,,NEW CALEDONIA,,CANALA,-21.5,165.97,395.0,,,,,,,,1.0,,,,,,,,,,,,,7,1950-12-02,1950-12-02
1950.0,12.0,2.0,19.0,51.0,49.0,3.0,1.0,*,7.8,,*,,NEW CALEDONIA,,HIENGHENE,-20.683,164.933,382.0,,,,,,0.8,,1.0,,,,,,,,,,,,,7,1950-12-02,1950-12-02
1950.0,12.0,2.0,19.0,51.0,49.0,3.0,1.0,*,7.8,,*,,NEW CALEDONIA,,ILE DES PINS,-22.6,167.5,484.0,,,,,,,,1.0,,,,,,,,,,,,,7,1950-12-02,1950-12-02
1950.0,12.0,2.0,19.0,51.0,49.0,3.0,1.0,*,7.8,,*,,NEW CALEDONIA,,POINDIMIE,-20.933,165.333,375.0,,,,,,2.5,,1.0,,,,,,,,,,,,,7,1950-12-02,1950-12-02
1950.0,12.0,2.0,19.0,51.0,49.0,3.0,1.0,*,7.8,,*,,VANUATU,,ERAKOR ISLAND,-17.776,168.308,100.0,,,,,,,,1.0,,,,,,,,,,,,,7,1950-12-02,1950-12-02
1950.0,12.0,9.0,2.0,50.0,42.0,2.0,1.0,*,7.0,,*,,PERU,,PISCO,-13.71,-76.22,176.0,,,,,,,5.0,1.0,,,,,,,,,,,,,8,1950-12-09,1950-12-09
1950.0,12.0,14.0,14.0,15.0,49.0,4.0,1.0,*,7.5,,*,,MEXICO,GUERRERO,ACAPULCO,16.833,-99.917,185.0,14.0,14.0,34.0,0.0,18.0,0.3,,2.0,23.0,,,,,,,,,,,,9,1950-12-14,1950-12-14
1950.0,12.0,14.0,14.0,15.0,49.0,4.0,1.0,*,7.5,,*,,USA,HI,"PORT ALLEN, KAUAI, HI",21.91,-159.58,6433.0,,,,,,0.1,,2.0,25.0,,,,,,,,,,,,9,1950-12-14,1950-12-14
1951.0,2.0,22.0,1.0,45.0,48.9,2.0,1.0,*,6.1,,*,,PAPUA NEW GUINEA,SANDAUN,AITAPE,-3.142,142.35,17.0,,,,,,6.0,,1.0,,,,,,,,1.0,,,,,10,1951-02-22,1951-02-22
1951.0,8.0,21.0,10.0,57.0,0.0,4.0,1.0,*,6.9,,*,,USA,HI,"HILO, HAWAII, HI",19.7303,-155.0553,102.0,21.0,11.0,38.0,,,0.1,,2.0,15.0,,,,,,,,,,,,11,1951-08-21,1951-08-21
