time,latitude,longitude,depth,mag,place,type,Year,Mo,Dy,Date,timestamp,Hr,Mn,Sec,Val,Tsunami Cause Code,Focal Depth (km),Vol,Deposits,Country,Area,Region,Location Name,lat,long,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Abe),Tsunami Magnitude (Iida),Tsunami Intensity,Deaths,Missing,Injuries,Damage ($Mil),_merge,gid,Max Distance,timestamp2
,,,,7.7,,,1950.0,10.0,5.0,,1950-10-05,16.0,9.0,31.0,4.0,1.0,33.0,,0.0,COSTA RICA,,88.0,COSTA RICA-NICARAGUA,11.0,-85.0,0.1,8.0,,-3.3,-2.0,,,,,right_only,3,7979.0,1950-10-05
,,,,7.5,,,1950.0,10.0,23.0,,1950-10-23,16.0,13.0,20.0,4.0,1.0,65.0,,0.0,GUATEMALA,,88.0,GUATEMALA,14.31,-91.917,0.2,5.0,,-1.3,-1.0,,,,,right_only,5,7150.0,1950-10-23
,,,,7.3,,,1950.0,11.0,8.0,,1950-11-08,2.0,18.0,12.0,3.0,1.0,33.0,,0.0,SOLOMON ISLANDS,,82.0,SOLOMON SEA,-10.0,159.5,1.2,2.0,,,,,,,,right_only,6,79.0,1950-11-08
,,,,7.8,,,1950.0,12.0,2.0,,1950-12-02,19.0,51.0,49.0,3.0,1.0,60.0,,0.0,VANUATU,,82.0,VANUATU ISLANDS,-18.25,167.5,2.5,5.0,,,,,,,,right_only,7,484.0,1950-12-02
,,,,7.5,,,1950.0,12.0,14.0,,1950-12-14,14.0,15.0,49.0,4.0,1.0,50.0,,0.0,MEXICO,,88.0,S. MEXICO,16.48,-98.22,0.3,2.0,,-1.5,,,,,,right_only,9,6433.0,1950-12-14
,,,,6.1,,,1951.0,2.0,22.0,,1951-02-22,1.0,45.0,48.9,2.0,1.0,25.0,,0.0,PAPUA NEW GUINEA,,82.0,BISMARCK SEA,-3.252,142.238,6.0,1.0,,,,,,,,right_only,10,17.0,1951-02-22
,,,,6.9,,,1951.0,8.0,21.0,,1951-08-21,10.0,57.0,0.0,4.0,1.0,12.0,,0.0,USA,HI,80.0,HAWAII,19.5,-156.0,3.6,7.0,,1.8,0.5,,,,,right_only,11,459.0,1951-08-21
,,,,7.3,,,1951.0,10.0,22.0,,1951-10-22,5.0,43.0,1.0,4.0,1.0,21.0,,0.0,TAIWAN,,84.0,TAIWAN,23.8,121.7,0.3,2.0,,,,,,,,right_only,12,9517.0,1951-10-22
,,,,8.1,,,1952.0,3.0,4.0,,1952-03-04,1.0,22.0,41.0,4.0,1.0,45.0,,0.0,JAPAN,,85.0,SE. HOKKAIDO ISLAND,42.15,143.85,6.54,218.0,,2.7,2.0,33.0,,,,right_only,13,14840.0,1952-03-04
,,,,7.0,,,1952.0,3.0,9.0,,1952-03-09,17.0,4.0,0.0,4.0,1.0,20.0,,0.0,JAPAN,,85.0,SE. HOKKAIDO ISLAND,41.7,143.6,0.3,4.0,,-1.7,-2.0,,,,,right_only,14,7791.0,1952-03-09
,,,,4.5,,,1952.0,3.0,17.0,,1952-03-17,3.0,58.0,0.0,4.0,1.0,33.0,,0.0,USA,HI,80.0,HAWAII,19.1,-155.0,1.0,2.0,,,0.0,,,,,right_only,15,4091.0,1952-03-17
,,,,7.8,,,1952.0,3.0,19.0,,1952-03-19,10.0,57.0,12.0,4.0,1.0,25.0,,0.0,PHILIPPINES,,84.0,"E. OF MINDANO, PHILIPPINES",9.5,127.25,0.33,5.0,,,,,,,,right_only,16,7338.0,1952-03-19
,,,,6.9,,,1952.0,5.0,13.0,,1952-05-13,19.0,32.0,0.0,2.0,1.0,64.0,,0.0,COSTA RICA,,88.0,COSTA RICA-PANAMA,10.3,-85.3,0.1,2.0,,-3.3,-3.0,,,,,right_only,17,9803.0,1952-05-13
,,,,6.8,,,1952.0,7.0,13.0,,1952-07-13,11.0,58.0,33.0,2.0,1.0,260.0,,0.0,VANUATU,,82.0,OFF EAST COAST OF VANUATU,-18.5,169.25,,2.0,,,,,,,,right_only,18,2713.0,1952-07-13
,,,,9.0,,,1952.0,11.0,4.0,,1952-11-04,16.0,58.0,27.9,4.0,1.0,22.0,,6.0,RUSSIA,,86.0,KAMCHATKA,52.755,160.05700000000002,23.0,327.0,,4.2,4.0,10000.0,,,1.0,right_only,19,15578.0,1952-11-04
